wz_id,county,roadway,category,direction,speed,start_datetime,end_datetime,start_mm,end_mm,tmc_list
57973,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/6/2014 7:00,1/12/2014 18:00,257.086293,270.88209700000004,"108-04880,108N04880,108-04879,108N04879,108-04878,108N04878,108-04877,108N04877,108-04876,108N04876,108P04990,108-04990,108N04991"
58121_2,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/6/2014 7:00,1/12/2014 18:00,225.710404,228.98738319999998,"108-04121,108N04121,108-04120,108N04120,108-04119,108N04119,108-04118,108N04118,108-04117,108N04117,108-04116,108N04116,108-04115,108N04115,108-04114,108N04114,108-04113,108N04113,108-04112,108N04112,108-04111,108N04111,108-04110,108N04110,108-04109,108N04109,108-04108,108N04108,108-04107,108N04107,108-04106"
58122_2,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/6/2014 7:00,1/12/2014 18:00,243.26027969999998,257.4561203,"108-04880,108N04880,108-04879,108-04102,108N04102,108-04101,108N04101,108-04100,108N04100,108-04099,108N04099,108-04098,108N04098"
58123,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/6/2014 7:00,1/12/2014 18:00,231.756632,243.780846,"108N04112,108-04111,108N04111,108-04110,108N04110,108-04109,108N04109,108-04108,108N04108,108-04107,108N04107,108-04106,108N04106,108-04105,108N04105,108-04104,108N04104,108-04103,108N04103,108-04102,108N04102,108-04101,108N04101,108-04100,108N04100,108-04099,108N04099,108-04098"
58124,Macomb County,I-75,Shoulder Closure,Northbound,70,1/6/2014 8:00,1/12/2014 18:00,49.487994,53.06195,"108+04192,108P04192,108+04193,108P04193,108+04194,108P04194,108+04195,108P04195,108+04196,108P04196,108+04197,108P04197,108+04198,108P04198,108+04199,108P04199,108+04200,108P04200,108+04201,108P04201,108+04202,108+04203,108P04203,108+04204,108P04204,108+04205,108P04205,108+04206,108P04206,108+04207,108P04207,108+04208,108P04208,108+04209,108P04209,108+04210,108P04210"
59345_1,Oakland County,I-75,Single Lane Closure,Northbound,70,1/15/2014 9:00,1/16/2014 15:00,79.03866395,79.59229184,"108+04222,108P04222,108+04223,108P04223,108+04224,108P04224,108+04225,108P04225,108+04226,108P04226,108+04227,108P04227,108+04228"
59411,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/13/2014 7:00,1/19/2014 18:00,257.096197,270.789386,"108-04880,108N04880,108-04879,108N04879,108-04878,108N04878,108-04877,108N04877,108-04876,108N04876,108P04990,108-04990,108N04991"
59413,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/20/2014 7:00,1/26/2014 18:00,257.096197,270.789386,"108-04880,108N04880,108-04879,108N04879,108-04878,108N04878,108-04877,108N04877,108-04876,108N04876,108P04990,108-04990,108N04991"
59416,Macomb County,I-75,Shoulder Closure,Northbound,70,1/13/2014 7:00,1/19/2014 18:00,49.487994,53.06195,"108+04192,108P04192,108+04193,108P04193,108+04194,108P04194,108+04195,108P04195,108+04196,108P04196,108+04197,108P04197,108+04198,108P04198,108+04199,108P04199,108+04200,108P04200,108+04201,108P04201,108+04202,108+04203,108P04203,108+04204,108P04204,108+04205,108P04205,108+04206,108P04206,108+04207,108P04207,108+04208,108P04208,108+04209,108P04209,108+04210,108P04210"
59417,Macomb County,I-75,Shoulder Closure,Northbound,70,1/20/2014 7:00,1/26/2014 18:00,49.487994,53.06195,"108+04192,108P04192,108+04193,108P04193,108+04194,108P04194,108+04195,108P04195,108+04196,108P04196,108+04197,108P04197,108+04198,108P04198,108+04199,108P04199,108+04200,108P04200,108+04201,108P04201,108+04202,108+04203,108P04203,108+04204,108P04204,108+04205,108P04205,108+04206,108P04206,108+04207,108P04207,108+04208,108P04208,108+04209,108P04209,108+04210,108P04210"
59418,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/13/2014 7:00,1/19/2014 18:00,231.760023,243.804593,"108N04112,108-04111,108N04111,108-04110,108N04110,108-04109,108N04109,108-04108,108N04108,108-04107,108N04107,108-04106,108N04106,108-04105,108N04105,108-04104,108N04104,108-04103,108N04103,108-04102,108N04102,108-04101,108N04101,108-04100,108N04100,108-04099,108N04099,108-04098"
59419,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/20/2014 7:00,1/26/2014 18:00,231.760023,243.804593,"108N04112,108-04111,108N04111,108-04110,108N04110,108-04109,108N04109,108-04108,108N04108,108-04107,108N04107,108-04106,108N04106,108-04105,108N04105,108-04104,108N04104,108-04103,108N04103,108-04102,108N04102,108-04101,108N04101,108-04100,108N04100,108-04099,108N04099,108-04098"
59420_2,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/13/2014 7:00,1/19/2014 18:00,225.710404,228.98738319999998,"108-04121,108N04121,108-04120,108N04120,108-04119,108N04119,108-04118,108N04118,108-04117,108N04117,108-04116,108N04116,108-04115,108N04115,108-04114,108N04114,108-04113,108N04113,108-04112,108N04112,108-04111,108N04111,108-04110,108N04110,108-04109,108N04109,108-04108,108N04108,108-04107,108N04107,108-04106"
59421_2,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/20/2014 7:00,1/26/2014 18:00,225.710404,228.98738319999998,"108-04121,108N04121,108-04120,108N04120,108-04119,108N04119,108-04118,108N04118,108-04117,108N04117,108-04116,108N04116,108-04115,108N04115,108-04114,108N04114,108-04113,108N04113,108-04112,108N04112,108-04111,108N04111,108-04110,108N04110,108-04109,108N04109,108-04108,108N04108,108-04107,108N04107,108-04106"
59423_2,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/13/2014 7:00,1/19/2014 18:00,243.26027969999998,257.4561203,"108-04880,108N04880,108-04879,108-04102,108N04102,108-04101,108N04101,108-04100,108N04100,108-04099,108N04099,108-04098,108N04098"
59424_2,Macomb County,I-94,Shoulder Closure,Eastbound,70,1/20/2014 7:00,1/26/2014 18:00,243.26027969999998,257.4561203,"108-04880,108N04880,108-04879,108-04102,108N04102,108-04101,108N04101,108-04100,108N04100,108-04099,108N04099,108-04098,108N04098"
59598_2,Oakland County,I-96,Shoulder Closure,Eastbound,70,2/10/2014 9:00,2/14/2014 15:00,179.396036,189.78489480000002,"108N04252,108-04251,108N04251,108-04250,108N04250,108-04249,108N04249,108-04248,108N04248,108-04247,108N04247,108-04246,108N04246,108-04245,108N04245,108-04244,108N04244,108-04243,108N04243,108-04242,108N04242,108-04241,108N04241,108-04240,108N04240,108-04239,108N04239,108-04238,108N04238,108-04237,108N04237,108-04236"
